X,Y,Z
700021.782722,9313094.420077,0.000000,78
699982.571222,9313050.923410,0.000000,78
700003.393097,9313070.107160,0.000000,78
700003.074889,9313072.543410,0.000000,78
700000.536695,9313068.270910,0.000000,78
700002.943889,9313090.690077,0.000000,78
700027.791139,9313088.250910,0.000000,78
700032.422389,9313084.126743,0.000000,78
700032.474722,9313081.843410,0.000000,78
699994.876389,9313083.988410,0.000000,78
700010.131764,9313096.384660,0.000000,78
700177.076532,9312946.032124,0.000000,89
700174.027389,9312896.842710,0.000000,90
700123.673363,9312877.935857,0.000000,91
700169.738722,9312851.529243,0.000000,92
700158.097056,9312860.365910,0.000000,93
700183.284103,9312831.854910,0.000000,94
700177.835722,9312793.106077,0.000000,95
700166.915014,9312801.350410,0.000000,96
700183.306972,9312802.253952,0.000000,97
700188.616889,9312946.111077,0.000000,98
700177.606264,9312955.743785,0.000000,99
700240.953197,9312966.886854,0.000000,100
700280.938818,9312956.190410,0.000000,101
700245.734764,9312889.807160,0.000000,103
700355.749222,9312862.625910,0.000000,104
700319.428139,9312994.227160,0.000000,105
700324.625556,9312999.563410,0.000000,110
700332.494489,9312991.350410,0.000000,111
700320.029960,9312980.761267,0.000000,113
700323.982222,9312947.667577,0.000000,115
700319.627389,9312944.964299,0.000000,116
700280.507722,9312963.522410,0.000000,117
700296.554489,9312984.199410,0.000000,118
700278.105722,9312946.005410,0.000000,119
700304.650167,9312941.082966,0.000000,120
700260.101056,9312920.552077,0.000000,121
700285.475556,9312938.172243,0.000000,122
700360.389222,9312874.177910,0.000000,124
700365.218222,9312898.756577,0.000000,125
700363.409532,9312885.438696,0.000000,126
700350.622722,9312854.400243,0.000000,127
700315.141722,9312853.266910,0.000000,129
700327.643389,9312853.583035,0.000000,130
700308.940389,9312853.619660,0.000000,131
700264.678103,9312862.414267,0.000000,132
700297.693934,9312850.611683,0.000000,133
700282.690833,9312856.941966,0.000000,134
700278.070722,9312845.239243,0.000000,135
700259.826556,9312851.622577,0.000000,136
700242.822960,9312827.036481,0.000000,137
700244.865111,9312862.967660,0.000000,138
700246.290222,9312854.492577,0.000000,139
700246.699722,9312848.379243,0.000000,140
700336.542537,9312845.254743,0.000000,141
700235.269611,9312837.091966,0.000000,142
700261.135389,9312829.974910,0.000000,145
700267.097556,9312826.336243,0.000000,146
700274.027514,9312825.487160,0.000000,147
700277.887246,9312830.949410,0.000000,148
700284.458889,9312830.519077,0.000000,149
700297.236389,9312831.251285,0.000000,150
700348.153556,9312847.273243,0.000000,155
700343.405556,9312841.214577,0.000000,156
700259.039056,9312893.856243,0.000000,158
700256.508103,9312873.538410,0.000000,159
700268.060722,9312891.160521,0.000000,160
700254.129222,9312879.348077,0.000000,161
700260.745014,9312878.696160,0.000000,162
700274.323675,9312900.042124,0.000000,164
700290.093222,9312891.895577,0.000000,237
700300.901556,9312887.621910,0.000000,166
700315.474222,9312889.108910,0.000000,167
700322.627246,9312875.539410,0.000000,169
700324.209032,9312886.482267,0.000000,170
700341.910639,9312888.680535,0.000000,171
